tape1.0,,tape1.0,Anthropogenic Edge：크逕뵨쉔蓼혐뵨렴컨뒈//딸속1km롸길쪽훙묏주,,,,,,|,tape2.0,Anthropogenic Edge：크逕뵨쉔蓼혐뵨렴컨뒈//灌딸속1km롸길쪽훙묏주,,
China,Year,China,Year,Anthropogenic Edge,Natural Edge,,,,|,China,Year,Anthropogenic Edge,Natural Edge
,2018,,2018,5.8686804768796974E10,2.5659713309171777E9,,,,|,,2018,5.769717337309172E10,3.555602726622483E9
,2019,,2019,6.100607474921851E10,2.7694532198207617E9,,,,|,,2019,6.000038828878402E10,3.7751396802553816E9
,2020,,2020,6.133904451649956E10,2.6376899476976686E9,,,,|,,2020,6.0352621427005165E10,3.6241130371919084E9
,2021,,2021,6.147298070693346E10,2.6309563772254696E9,,,,|,,2021,6.052356022374823E10,3.580376860409219E9
,2022,,2022,6.317832104917766E10,2.5120959269348617E9,,,,|,,2022,6.220266656065702E10,3.487750415453936E9
,2023,,2023,6.263711513211623E10,2.4200119265232115E9,,,,|,,2023,6.171597810329909E10,3.3411489553413787E9
,,,,,,,,,|,,,,
,,,,,,,,,|,,,,
NE,2018,NE,2018,6.202659992245651E9,1.2225954734072393E8,,,,|,NE,2018,6.182457852590781E9,1.4246168699516502E8
,2019,,2019,6.862635285649807E9,1.2018722251947379E8,,,,|,,2019,6.841774736160155E9,1.4104777200820124E8
,2020,,2020,6.640671294901147E9,1.6430152425193945E8,,,,|,,2020,6.613514390504913E9,1.9145842864828065E8
,2021,,2021,6.523048794898409E9,1.6399271557565337E8,,,,|,,2021,6.497645533386378E9,1.8939597708722174E8
,2022,,2022,6.958890092819717E9,1.6554686040841419E8,,,,|,,2022,6.931856003779304E9,1.92580949448463E8
,2023,,2023,7.134876320835318E9,1.4383362594222754E8,,,,|,,2023,7.111416252182947E9,1.672936945950991E8
,,,,,,,,,|,,,,
NO,2018,NO,2018,4.337738146588296E9,4.61330219978659E7,,,,|,NO,2018,4.333891881938999E9,4.9979286647164E7
,2019,,2019,5.554374227624851E9,5.2079830952614516E7,,,,|,,2019,5.549846611031834E9,5.660744754516666E7
,2020,,2020,6.183760585559731E9,5.636868030949163E7,,,,|,,2020,6.1790606833698225E9,6.106858250002186E7
,2021,,2021,5.547479985682505E9,6.371009510138272E7,,,,|,,2021,5.54305736315257E9,6.813271763095574E7
,2022,,2022,6.565168965446684E9,7.249773892273152E7,,,,|,,2022,6.559978122137182E9,7.768858223186113E7
,2023,,2023,5.632252654267727E9,6.43816860238431E7,,,,|,,2023,5.62802943012939E9,6.860491016230837E7
,,,,,,,,,|,,,,
NW,2018,NW,2018,4.534012785611843E9,8.848600671212618E7,,,,|,NW,2018,4.518351422598922E9,1.0414736972529249E8
,2019,,2019,4.895940237613935E9,8.988690782200351E7,,,,|,,2019,4.879903615919937E9,1.0592352951614508E8
,2020,,2020,4.597022975500068E9,8.080287339808458E7,,,,|,,2020,4.581183661132575E9,9.664218776600733E7
,2021,,2021,4.909679946951104E9,8.033308610976283E7,,,,|,,2021,4.8938812630513315E9,9.613177000943509E7
,2022,,2022,4.267499942118353E9,7.79950263275257E7,,,,|,,2022,4.2520010260212736E9,9.34939424249094E7
,2023,,2023,4.586550072194881E9,1.158961598877125E8,,,,|,,2023,4.570522097036114E9,1.31924135046807E8
,,,,,,,,,|,,,,
SO,2018,SO,2018,1.4371422540793358E10,8.368206711407685E8,,,,|,SO,2018,1.3850556432144268E10,1.3576867797902985E9
,2019,,2019,1.444260602044985E10,9.007287450607679E8,,,,|,,2019,1.3914259021712177E10,1.4290757437984312E9
,2020,,2020,1.4442096824914494E10,8.442369611067066E8,,,,|,,2020,1.3930930564203016E10,1.3554032218177493E9
,2021,,2021,1.505122334134416E10,8.531530661941617E8,,,,|,,2021,1.4556656589814245E10,1.3477198177243342E9
,2022,,2022,1.5032116872547964E10,8.305411833385818E8,,,,|,,2022,1.4516572913569347E10,1.3460851423178642E9
,2023,,2023,1.4824821654670343E10,8.234142335296649E8,,,,|,,2023,1.432374020078842E10,1.3244956874113615E9
,,,,,,,,,|,,,,
SW,2018,SW,2018,2.204174120513198E10,9.9085993109731E8,,,,|,SW,2018,2.188807112870846E10,1.1445300075199327E9
,2019,,2019,2.2216770210944233E10,1.094266731224161E9,,,,|,,2019,2.205569275099609E10,1.2553441911723092E9
,2020,,2020,2.2247104314761326E10,1.0019842770715177E9,,,,|,,2020,2.2096507527387905E10,1.1525810644449253E9
,2021,,2021,2.2307906471169453E10,9.967561056677768E8,,,,|,,2021,2.216099061419896E10,1.1436719626386347E9
,2022,,2022,2.2984689819151005E10,7.886920207928691E8,,,,|,,2022,2.25387353480521E10,9.983574392136295E8
,2023,,2023,2.298468981915175E10,7.886920207929147E8,,,,|,,2023,2.287163910226235E10,9.017427376815153E8
,,,,,,,,,|,,,,
EA,2018,EA,2018,7.220730681117624E9,4.88105123244594E8,,,,|,EA,2018,6.945282892580552E9,7.635529117816875E8
,2019,,2019,7.055796364598405E9,5.185502653672934E8,,,,|,,2019,6.780887884547744E9,7.934587454178821E8
,2020,,2020,7.250725233193348E9,4.9581767180728054E8,,,,|,,2020,6.973680773444044E9,7.728621315563511E8
,2021,,2021,7.156901395961775E9,4.78694612869884E8,,,,|,,2021,6.894526862871189E9,7.410691459607414E8
,2022,,2022,7.704313458672613E9,5.069662908502196E8,,,,|,,2022,7.426020158012801E9,7.852595915102555E8
,2023,,2023,7.4967302123670635E9,4.8966235102162194E8,,,,|,,2023,7.233368245250738E9,7.530243181373696E8
