SW,distance,Height_Max,Height_Mean,Height_Min,Height_P25,Height_P50,Height_P75,Height_StdDev
,10,60,17.138016292630446,1,14.026772024536339,17.010764540333717,20.005413729562054,4.653280215883037
,20,58,17.730800799979203,1,14.999999999999993,17.01133286384198,20.00726406711396,4.498558883520422
,30,59,18.250136383164442,1,16.01274467095474,18.012598266378657,20.00882398541829,4.437386533109924
,40,59,18.70797656014596,1,16.010513408971974,18.012344409468895,21.00753198538618,4.435525975091778
,50,57,19.10609799318582,1,16.0154482168112,19.012297106381602,21.00805991350227,4.46612468365237
,60,58,19.441631195699216,1,17.012500976284016,19.01053026157656,22.006609751252373,4.526057893619536
,70,58,19.700301720012188,1,17.011212166479545,19.009437299799636,22.00576495759955,4.581306332304485
,80,58,19.940051035582744,1,17.012223322614847,19.011675103295357,22.008016250061026,4.639041044781401
,90,59,20.177258271919246,1,17.011424742378427,20.009102907174054,23.00596294428371,4.707771435653453
,100,59,20.39364823719791,1,17.013317132163607,20.011312992144024,23.004459087503385,4.771375757847232
,110,59,20.58600573735198,1,17.010367281458603,20.007840948558187,23.00583930885119,4.8340678527860925
,120,59,20.754972203498834,1,18.01202194899588,20.00845194196276,23.00619498964358,4.889210821244632
,130,61,20.934259755727382,1,18.012568818050898,20.010428313835284,23.007120345634554,4.944750495123705
,140,60,21.104064340926165,1,18.011349687331453,20.00876505426276,24.006079515298563,5.002617808462689
,150,60,21.256328941773845,1,18.010334793113696,21.0082687260373,24.005627023545223,5.049929843941803
,160,59,21.395619006989683,1,18.01078145989548,21.008295951510444,24.005897343362513,5.0983420157199095
,170,59,21.52350519057308,1,18.009354968517798,21.00889567398341,24.004799933930425,5.139120425037317
,180,60,21.638103118046413,1,18.008215775885795,21.006224023095186,24.00411611042961,5.176318402607266
,190,60,21.7546979419386,1,18.009990987252763,21.008363801653307,24.00495519490358,5.215013832724107
,200,62,21.86220727132251,1,18.009288478988854,21.00693076766135,25.004102219556316,5.246727258073316
,210,62,21.96567118434851,1,18.008466355121158,21.007873928715185,25.003938520382093,5.281787551696936
,220,63,22.063618616941913,1,19.007497746657982,21.00859441763447,25.004920003474556,5.311443357963754
,230,63,22.159781506278566,1,19.006482385463304,21.008180441082743,25.00452280233167,5.341659187471808
,240,61,22.250723667285953,1,19.007717302350652,21.00688426787722,25.004428894735838,5.37051251416599
,250,60,22.343121382686455,1,19.00755630004443,22.00690852745592,25.00540047938478,5.398034101703144
,260,60,22.43653609446509,1,19.006496621504304,22.005742511673205,25.003728013543636,5.426639782467251
,270,61,22.523196148869005,1,19.004733185251794,22.006779185417493,25.00396356757907,5.4518652824531735
,280,62,22.607622566252108,1,19.0058970105924,22.00496555981014,25.00341627114534,5.478058393475714
,290,62,22.689418992129433,1,19.008463026126602,22.00597084092053,25.003709167976265,5.502403565646303
,300,61,22.772035677234797,1,19.00696939943715,22.005696001208314,26.003635108779328,5.527010440602689
,400,63,23.543880658196134,1,20.00508020345684,23.00487771689517,26.00220494867674,5.750700428583569
,500,62,24.248777709812792,1,20.007970281014703,23.00369118368437,27.003259838455214,5.94642965984253
,600,60,24.915162181021152,1,21.005320670216445,24.005096321458264,28.00243293413511,6.119649071396043
,700,63,25.546800980587637,1,21.007054657038235,24.004773921585514,29.002235320637357,6.275751416410582
,800,63,26.146072935198678,1,22.00442806,25.00344447476153,30.00282580530794,6.410756344049522
,900,64,26.72082788847336,1,22.008055270874102,25.003094734575093,30.002054337199073,6.528450751124589
,1000,61,27.26511857475435,1,22.006435475936932,26.003846503296923,31.00000000000001,6.6397109606117235
,,,,,,,,
China/All,distance,Height_Max,Height_Mean,Height_Min,Height_P25,Height_P50,Height_P75,Height_StdDev
,10,60,15.863119758087588,1,13.024868838412063,16.01180383522882,19.008579086591585,5.131324626089357
,20,58,16.38410932330256,1,14.02404992982175,16.011536920330798,19.00907910583637,5.0048561603213555
,30,63,16.846423021287787,1,14.170538981793294,17.011794413850776,19.01016845064683,4.947498825214636
,40,63,17.221751401869184,1,15.000000000000009,17.011584949830997,20.00962542496552,4.971734336472029
,50,67,17.570148248153963,1,15,18.011729046733752,20.00969373472094,4.9631792450754375
,60,84,17.838915374325094,1,15.00000000000003,18.010763200744307,20.007462118770583,5.0179001538882435
,70,84,18.04847508266056,1,16.010884994175683,18.01087889107478,21.00724356837327,5.045785483937698
,80,84,18.243674936071614,1,16.011135643179816,18.010886883567533,21.008652375386756,5.063492913347482
,90,64,18.42278248755756,1,16.011523277210085,18.01154755400551,21.00914101828754,5.107414123773901
,100,59,18.592426479532055,1,16.01047226748443,18.012181354526366,21.00807749052922,5.132973134838985
,110,59,18.731350579848378,1,16.008809719436236,19.008789480511936,21.007605578021888,5.176595133419842
,120,62,18.855977523559165,1,16.0074508110085,19.008385662723377,21.00593454142727,5.206085108045329
,130,62,18.99481453025374,1,16.01024542436481,19.011028278506473,22.008082314023117,5.222237133269974
,140,60,19.106519734521516,1,16.009679899527548,19.009259382135596,22.00731069838461,5.265229734601575
,150,60,19.220330950283824,1,17.011323461992678,19.010365213477407,22.00725595446988,5.278479488949775
,160,59,19.307830335699148,1,17.010068676118483,19.00687630326834,22.006489260944196,5.313244121467625
,170,59,19.401331015893756,1,17.01017679031248,19.009276223651444,22.006665468960254,5.321002555920811
,180,60,19.46449253455465,1,17.009865997642848,19.00830505157507,22.007287828788616,5.34921971756531
,190,60,19.534492193746818,1,17.010868942712516,19.009596515618888,22.006575444048856,5.370853371568674
,200,62,19.60715523713818,1,17.00915188910696,19.008535999430595,22.006462425524184,5.373834595730823
,210,62,19.659827603807454,1,17.007923266208266,19.006514726791927,22.006486776101692,5.399131898606261
,220,63,19.722920638434243,1,17.00993697331733,20.009523314578285,22.00690477855001,5.403312899247406
,230,63,19.76952329230637,1,17.006946283959962,20.008471212643215,22.006868396417463,5.423052578291974
,240,62,19.816446923987133,1,17.00729115049849,20.00767479341447,23.00532167678185,5.438706070328054
,250,62,19.870603854714176,1,17.00912088803495,20.008432300351693,23.005035263411976,5.445856210807334
,260,60,19.91642385360685,1,17.006348995398817,20.007395284302973,23.00461580509964,5.461020511838965
,270,70,19.962837177010975,1,17.007303703166556,20.00804937390878,23.005895613309363,5.470303916330741
,280,70,20.001735057299957,1,17.006594633184385,20.00753655554161,23.0051058670585,5.485789853072321
,290,70,20.046257888943178,1,17.00702753994162,20.006550138276562,23.005609426876635,5.493697458829848
,300,65,20.084909054426802,1,17.00683984180393,20.007574455545377,23.004968150289677,5.506099528436172
,400,63,20.43485186574262,1,18.005767015206036,20.00687476907818,23.004241300550735,5.623833988950755
,500,62,20.719162519742685,1,18.00456247103866,20.006001331336083,23.004345729893785,5.749139129089739
,600,60,20.969650835964984,1,18.004423112169174,21.005874253702732,24.003335806811855,5.879236539878745
,700,63,21.189553388084395,1,18.003559088628677,21.0041848351609,24.003590079520396,6.014948024684377
,800,63,21.398191815613327,1,18.003178494730527,21.004838405626256,24.003768191481807,6.148205628192868
,900,64,21.59491147628085,1,19.002415492964335,21.00395952163763,25.003095891080164,6.285409052954815
,1000,63,21.782891718711397,1,19.00220693181362,22.00349535987952,25.003401551466766,6.430987080659942
